logits,hallucination_scores
[ 1.3504074  -0.14529349 -3.8112776 ],0.4136116
[-0.19924045  0.8915446  -2.8130577 ],0.5491712
[-1.1907407 -2.1661873  2.8666127],0.07632891
[ 0.6301389 -0.4848974 -1.8656515],0.60261357
[-1.7996508  2.203891  -2.035808 ],0.09818329
[ 1.6469239 -5.7115097  3.311159 ],0.35907394
[ 1.3408018 -0.2508481 -2.8321176],0.40837646
[-0.12902214 -0.34966114 -0.6975193 ],0.94668055
[-0.20267272  0.21201573 -0.59247226],0.895866
[ 1.4387355  -0.80969155 -1.4223065 ],0.34089282
[-0.90866894  2.0247748  -0.8109891 ],0.25682616
[-1.4027433 -4.0197835  4.628413 ],0.010644945
[ 2.4752698 -1.4764562 -1.8390551],0.09837496
[-1.4863713  2.9219468 -2.9389176],0.051483713
[-1.8496788  -0.28604105  2.0815644 ],0.26391643
[ 1.3826382 -2.179491  -1.3727077],0.22626287
[-2.1636753   1.5866853  -0.62494475],0.2964679
[-0.5010933  -0.09546267 -0.70287   ],0.9097121
[-2.0710554  1.6522985 -2.0307767],0.1363427
[-1.5055944  2.3007195 -3.363742 ],0.08093043
[-4.0886474  -0.03110408  1.6690412 ],0.35900235
[ 1.1213331 -0.2041216 -2.4346683],0.49320593
[ 0.5604825  1.1079085 -2.7142985],0.6961818
[-1.4068458 -0.8845358  1.2941419],0.36472052
[ 1.5222293 -3.5913634  1.1840831],0.7351893
[-1.9204593  -0.02883644  1.0332674 ],0.5881361
[-2.3757923 -0.8713342  2.9964774],0.0808416
[ 2.8096685 -1.3577821 -1.8180403],0.07974018
[-0.28055006  0.9195123  -1.3457171 ],0.5993356
[ 1.2302282 -1.6879106 -1.1155317],0.3215568
[ 1.3719689 -0.402148  -2.7091627],0.36970508
[-0.9570234   0.97067153 -0.09545496],0.65926933
[ 0.3676242 -3.2065163  1.9660068],0.38848484
[ 1.2361288  1.7007086 -3.7571237],0.6972252
[-1.1841058  3.1204393 -3.5874145],0.050062634
[-3.0195076 -3.7732086  6.2212462],0.000516596
[ 2.5486274  -4.0507355  -0.81744516],0.1048112
[-0.33311933  0.5454644  -2.8147864 ],0.6187438
[-1.5089535 -1.0006526  1.982218 ],0.20463414
[ 3.37695   -2.891009  -3.3213625],0.012789247
[-0.96556336  1.7560282  -3.1283529 ],0.18839201
[-4.454838   -0.26979116  3.2783992 ],0.08769123
[ 1.3143481  1.4003644 -3.8172593],0.80163634
[-0.72460943  2.262375   -2.2485137 ],0.16549039
[-0.26141393 -4.692662    4.508812  ],0.030746872
[-0.15619975 -1.3763543  -2.0350795 ],0.6285478
[-3.6383173  2.6880991 -1.3911283],0.06156552
[-2.1554644  -0.42649138 -0.13952483],0.83903533
[ 1.3485963 -0.7882128 -3.014881 ],0.28968966
[-2.809628   2.542682  -1.4289353],0.075637236
[-2.8084052 -1.5051737  3.5321727],0.030592937
[ 2.573906   -0.00988522 -4.427769  ],0.18903811
[ 0.5683532   0.57249296 -3.049843  ],0.8423799
[-1.7546525 -2.4878552  3.1156843],0.040388316
[ 1.1443412  -0.65463996 -1.6011635 ],0.4301412
[-0.40699744  1.7581257  -2.5725317 ],0.2854366
[-2.4582393 -3.9743423  6.1226687],0.0009508921
[ 0.11432134 -0.01211549 -0.37758702],0.9673284
[-0.62643963  2.3336658  -2.4868748 ],0.16150911
[-1.4419746 -1.0935223  2.096848 ],0.18227902
[ 0.67665833 -0.12545277 -2.02202   ],0.6698779
[-1.6825628  1.377548  -1.2107085],0.27723107
[-3.3076093 -3.5736508  6.627764 ],0.00021333406
[ 2.7874184 -1.4864236 -2.9021146],0.058149315
[-0.37523577  0.9229219  -2.7065506 ],0.49738216
[ 1.632061   -2.6299617   0.11599486],0.42417216
[ 1.6883894  -1.4204253  -0.73820215],0.29625034
[-0.27364832 -0.2934385   0.68005353],0.7736664
[ 0.16050753 -4.509263    5.142808  ],0.025438122
[ 1.3469188 -2.304945  -1.0125464],0.27653432
[-1.4905889  1.9402469 -1.7101778],0.15698639
[ 1.2694561 -1.8810683 -1.1870663],0.28920698
[ 2.0506206  -1.6082989  -0.42539024],0.25867003
[-1.9112301   1.385697    0.67714846],0.6675558
[-3.8388038  0.8103663  3.3358786],0.19697976
[ 0.88136345  0.5626199  -4.0645013 ],0.7419907
[ 0.54545325  1.5703536  -4.4230103 ],0.53282815
[-2.7649467 -5.1257195  6.5658655],0.00027406955
[-0.45927125  0.22205655 -1.9913291 ],0.73069644
[-1.4618046  1.4945798 -3.1603215],0.16536203
[-3.7806044 -1.748379   4.5749187],0.0085957935
[ 0.5684125  -0.29311156 -2.4087758 ],0.6397623
[-2.6022513  1.3643322 -1.9313639],0.15362883
[-3.8028579   0.41285235  1.373753  ],0.55698156
[ 2.6579757 -4.48923    0.6490722],0.28631932
[-1.4224806   0.5139886   0.39900953],0.8823174
[ 0.11024267 -1.5566993   0.6274332 ],0.77340275
[ 2.6479485 -2.4703677 -1.3357854],0.07846286
[ 0.30015948  0.15407377 -1.4401006 ],0.887524
[-0.1246896  -0.79215884  0.3324046 ],0.8644242
[ 0.47611588  1.0605547  -2.3009655 ],0.6991803
[-0.33264935  1.9026517  -1.9660519 ],0.28780457
[ 1.9288037 -1.2940716 -0.5228863],0.28534502
[ 1.339714   0.9445307 -3.3558676],0.72350526
[-0.4902494   0.6399263  -0.40356952],0.7405936
[-0.9494604 -5.960091   7.443145 ],0.0009218128
[ 1.627425  -1.9412178 -0.6613268],0.2916105
[-2.8892403   2.5244923   0.29958567],0.25576866
[-1.7120914  -0.53208315  0.3089335 ],0.70523345
[ 3.6959088 -2.3145807 -1.4683063],0.030309154
[-0.14497718  1.6645974  -1.1968274 ],0.41974032
[-1.4291035 -1.0135629  3.5457356],0.058007415
[ 1.702168  -1.8928676 -1.267729 ],0.20055987
[-1.1527977 -0.5549983  1.3714261],0.4233968
[ 0.44712365 -0.80753183  0.57533264],0.91436696
[-0.94863594  0.01629195 -1.2502127 ],0.7437311
[-2.4090357  2.4841568 -2.2819438],0.05365464
[-1.045406   -0.03563071  0.6193647 ],0.77784336
[ 2.3783436 -1.392187  -3.0876093],0.08522113
[-0.40913194  0.07634196 -1.769004  ],0.80390525
[-0.53742003 -1.8443453   0.28230965],0.70242447
[ 0.8912331  1.0264285 -4.869518 ],0.7853789
[-1.6740148  2.3517048 -3.7917204],0.06526855
[-3.0089862 -0.6165627  2.7042851],0.11450105
[-0.9114779  -0.17810094 -1.5534222 ],0.78422827
[-0.7252119  -0.87790036 -1.1984521 ],0.9634011
[-1.8444521 -2.437745   2.0179393],0.09894423
[ 0.71313715  0.4304076  -2.0486841 ],0.80118835
[-2.1090612  3.4455435 -2.090049 ],0.028673582
[-2.286839  -3.9714534  5.0501914],0.0034474668
[-0.31013212  0.40115523 -0.50672805],0.8284661
[-1.0735192  1.8652929 -1.489776 ],0.21692622
[-1.0398402 -1.5011108  2.1607726],0.17510709
[ 1.8160338 -1.9508884 -2.593348 ],0.10563427
[-1.4969413  2.303503  -4.0727105],0.07583538
[-3.2977693 -2.1182616  4.6268406],0.0066839955
[ 1.39208     0.41189253 -3.2915654 ],0.5575744
[-0.6640132  4.240822  -4.9530077],0.02738504
[-0.11636765 -3.790899    3.168706  ],0.11023134
[ 2.5320885  -4.5707016  -0.00665762],0.19522937
[-1.6577517   0.8927175  -0.71110696],0.4853566
[-1.0026    -2.0220146  1.6519467],0.23348035
[ 1.9253722  -2.7144022   0.59776217],0.46385682
[-0.28429592  1.6984875  -1.7348952 ],0.3521312
[ 1.201535    0.25443554 -2.5928545 ],0.58557653
[ 1.9413434  -0.39334562 -3.2045887 ],0.24047403
[-1.0548384  3.7321634 -3.7867959],0.032135945
[-2.7901967 -1.1484971  3.999702 ],0.026176522
[ 2.899617  -1.655797  -2.6256125],0.049974494
[ 0.08655769  1.422844   -2.5491974 ],0.476591
[-1.3514787 -1.6349776  1.8343045],0.18647788
[ 0.71115184 -1.0314438  -0.62152696],0.6174743
[ 0.95785457  0.6155851  -1.7157316 ],0.79023516
[-1.1461722  -0.1004234   0.94450516],0.65042293
[ 3.8652427 -2.1140928 -2.6538827],0.01601705
[-1.346362   2.7344232 -2.675442 ],0.069608346
[-1.3301098 -1.2566454  2.2124996],0.1597848
[ 0.75091743  0.03016471 -2.42947   ],0.66871786
[-0.73645043  1.5619987  -2.2369747 ],0.28002387
[-3.2145247 -2.5127907  5.788692 ],0.0016365028
[ 2.2271612 -1.2549516 -2.531341 ],0.115791485
[ 1.4370947  1.0167797 -4.1305604],0.7090734
[ 3.2982714 -4.7397404 -0.2067973],0.0903587
[ 2.1843297 -3.786588   0.36656  ],0.33113754
[-1.7481576   0.01078459  0.15184893],0.87881327
[-0.38651836 -3.899264    4.020883  ],0.04306739
[-0.4271664  -1.8286371   0.27514148],0.73307955
[-2.1533759   0.15862569  1.1226233 ],0.59896874
[-0.300567 -2.677728  1.644269],0.3274532
[ 0.7384389  -0.64231396 -2.0705562 ],0.51726556
[-0.24602935  0.96494615 -2.5375645 ],0.52455294
[-2.8163962 -3.4272416  4.8041987],0.0033802656
[ 4.7485757 -3.8298903 -1.4398674],0.009384644
[ 0.02532722  2.0846248  -2.5283628 ],0.29839042
[-0.48416817 -5.7750516   6.7852917 ],0.0030567104
[ 2.7397988  1.3225087 -4.9891334],0.42109597
[ 0.35296243  2.0615876  -2.5993915 ],0.3705399
[ 0.35344407 -0.24130377 -0.9359808 ],0.8219758
[ 2.3369396  -0.76536286 -2.6574557 ],0.1436854
[-0.16951478  0.46808958 -1.7159224 ],0.7435748
[-0.08650018 -1.7258999   0.8677933 ],0.6366167
[ 3.776352  -3.549747  -1.8297855],0.017202476
[-1.0222676  -0.09759133 -0.98683137],0.7909953
[-2.8171635 -2.4911115  5.315857 ],0.0031209225
[ 0.04534404 -1.1757091  -1.0962869 ],0.7114846
[ 0.02804118  1.0096271  -2.9828591 ],0.5707301
[-0.5679356  -0.7126348  -0.17037703],0.9147841
[ 2.9760246 -1.6970377 -1.7835906],0.058975827
[-1.0493302   1.1095761  -0.10592011],0.6044911
[-1.9512013 -3.7061837  6.0358963],0.0017626494
[ 1.2659788  -0.8015475   0.44537112],0.70663977
[-0.502297   0.0688377  1.0605689],0.7096254
[-1.7499467 -1.8776517  4.513687 ],0.014350554
[ 0.65674907  1.2492265  -4.6985617 ],0.6578331
[-0.05446004  2.1273892  -4.6832113 ],0.25439334
[-2.2224662   0.03841066  0.23029093],0.8372804
[ 0.5638592  1.0764376 -3.285733 ],0.69526327
[-1.4859129  1.3510487 -1.0159703],0.3245389
[-2.7970421 -1.2086575  4.0825615],0.023251696
[ 1.6585169 -1.2412889 -0.9623502],0.2848338
[-1.0580207   1.2692603  -0.81798625],0.41353518
[-2.114617  -1.9109396  3.5941339],0.027429393
[ 0.29805082 -1.7308751   0.6256564 ],0.80972934
[ 0.30845606  0.32986695 -0.8641596 ],0.94734454
[-1.3456405 -4.612785   5.4939437],0.004830246
[-0.18968232 -0.38210833  0.19331062],0.9157977
[-0.70704454 -0.11395176  1.0023446 ],0.6678858
[-3.1517012 -2.6842058  6.455519 ],0.0006769318
[ 2.8490195 -2.0774684 -2.109641 ],0.048462037
[-2.5747826  3.60327   -2.5228286],0.016743466
[ 0.19832739 -1.6235648  -0.11615082],0.84511626
[ 1.1211277   0.32488775 -3.2201972 ],0.6152363
[-0.7452207  1.688814  -2.4660134],0.24611542
[ 1.0277135e-03  4.7541925e-01 -1.1923370e+00],0.819373
[ 1.6298077 -2.4923916 -1.2150149],0.19250289
[-0.8199731  1.6519517 -2.8806453],0.23018844
[-1.9883729 -3.5364861  5.2120085],0.004029713
[ 1.0081683  -1.336353   -0.95403165],0.4332617
[-1.7583187   0.9993483  -0.77190423],0.43482238
[-3.4325466 -0.6506895  3.0828238],0.07911024
[ 0.4162404  0.8944113 -3.0564158],0.7124467
[-0.98109174  1.4541441  -2.5389297 ],0.25129682
[-1.994716    0.39319634  0.44337517],0.8704441
[ 1.2693037  0.6367296 -3.4578562],0.6560515
[-2.3810089   1.9615593  -0.30311304],0.26784056
[-2.234885  -1.3210018  2.9531915],0.06443546
[ 0.69147384 -2.727417    0.59719694],0.82553947
[-1.630516   -0.0840173  -0.14928977],0.91648865
[-2.1916597 -3.6165195  5.8591456],0.0017524379
[ 1.5772742 -2.2254407 -1.0376568],0.23306555
[ 0.33330756 -0.67586327 -0.10707615],0.8764445
[ 2.5400915  -4.259108    0.17656223],0.22320111
[ 1.5963815  0.427225  -3.3759415],0.5012206
[-0.19270904  1.7556399  -3.6705709 ],0.3080889
[-0.34430417 -2.329294    1.0584263 ],0.48097685
[ 1.666621   1.4317218 -3.6688204],0.76174164
[ 0.5594725  2.558165  -4.5622673],0.28842586
[-1.7464738   0.75198936 -0.41324663],0.59009737
[ 1.5619602   0.01355633 -2.2401063 ],0.4297526
[ 0.7706087  2.2935011 -3.925703 ],0.39851367
[ 0.16224241 -1.2287962   0.70822483],0.7830219
[-0.76365733 -1.5766735  -0.37408033],0.87282157
[-2.0620944  -0.01788285  0.21618246],0.8362671
[-2.9136631 -3.7161195  5.6901827],0.0011317225
[ 1.3339382  1.1390069 -2.818164 ],0.7849802
[-0.7838318  1.9455302 -1.725745 ],0.22415487
[-3.1508849  -0.50012434  3.1939833 ],0.08246703
[ 0.7579403  1.2704837 -2.5938902],0.7048545
[-1.5709208  2.3403468 -1.452093 ],0.12146305
[-1.319528   -0.60708594  1.9709905 ],0.26369327
[ 3.5209873 -1.9435776 -2.6117246],0.024405021
[ 0.3955011  1.3897319 -3.3634858],0.5526209
[-0.778614   -1.6938019  -0.24750854],0.8234722
[ 0.7185737  -0.66017425 -2.7037315 ],0.48535365
[-2.2146418  1.1742262 -1.50401  ],0.24499574
[-3.832732   -0.29906592  3.4884624 ],0.073013484
[ 1.630462  -2.0596879 -1.0280986],0.23222257
[-0.3656781  1.1588911 -3.6111462],0.4119572
[-3.027859  -1.8553971  3.2711852],0.02903403
[ 0.29418135 -1.3385535  -0.89646405],0.65904844
[-1.0760977  1.0022426 -2.622996 ],0.32535005
[ 1.0511076 -2.5802343  0.562929 ],0.71734995
[ 2.0039527 -1.0071688 -2.7718759],0.15697849
[-1.4264768  1.9689655 -2.3361595],0.1339142
[-2.6695282 -2.7397025  5.0796547],0.0036766431
[ 1.2321471 -1.6217568 -1.8806585],0.24163128
[-0.6962372  -0.10359581 -2.3875926 ],0.7483195
[ 0.7971043 -4.584677   1.6165575],0.59085286
[ 1.7463446 -1.041064  -2.256083 ],0.20344444
[-0.83997405  2.759365   -3.370171  ],0.0900273
[ 0.5221909 -3.761885   2.3603265],0.3257885
[ 1.8454638 -2.1982386 -1.9389033],0.11665486
[-1.5164026  1.6472691 -1.4291035],0.2154426
[-0.7698067 -2.9412403  2.544919 ],0.11740384
[ 3.8621209 -3.66124   -1.0024402],0.030170985
[ 0.0772436   0.21508053 -1.3120272 ],0.9029288
[ 0.6685828 -6.5395246  5.914337 ],0.01990266
[ 1.258843  -0.5884491 -2.556112 ],0.36290798
[ 0.5236084  1.1838381 -3.5496922],0.6480597
[-1.1731654 -4.1104546  4.4243984],0.015455219
[ 0.9803456 -0.8407936 -1.5082115],0.44629136
[-0.4303353   0.81785285 -2.0999753 ],0.54284525
[-3.4867055  0.5114288  1.4695156],0.56018096
[ 1.2343112  -0.45778656 -2.0357702 ],0.4197549
[-0.9210466  0.9968022 -1.5866382],0.41996384
[-0.64608806 -2.6099064   2.6694915 ],0.119937226
[ 1.4613131  1.3205532 -4.5031986],0.78365606
[ 0.25376028  3.1420918  -4.917131  ],0.14785266
[-1.5510627 -1.9973465  1.6908152],0.17024654
[ 1.2647756 -0.2179414 -2.7873304],0.4377501
[ 0.99623764 -0.51999056 -1.8052359 ],0.48641282
[-0.09922875 -1.0704356   1.2794602 ],0.55107886
[ 0.5379501  -0.15598276 -0.80096513],0.7960746
[-0.6392057  3.15635   -2.629073 ],0.08038485
[-0.3515855  1.3876921 -1.2173551],0.45287874
[ 1.4687792  1.1443753 -3.106257 ],0.7444396
[-0.40681967  2.784867   -3.3039415 ],0.12283433
[-1.2335176 -2.3900156  3.7018478],0.03446101
[ 0.855369  -0.8619418 -1.9748868],0.4407645
[-2.1070325  2.1152008 -1.0576476],0.15533893
[-0.15375036 -1.3482815   0.6286117 ],0.72290105
[-0.27696395  2.3425975  -2.175185  ],0.20950353
[-0.9869405  3.3447316 -2.5448582],0.05404729
[-1.6274881 -3.0176647  5.195666 ],0.0059464537
[ 1.7304218 -0.9905211 -2.7567399],0.19694237
[-0.52013654  2.8356462  -3.7336388 ],0.105789535
[-0.18974663 -1.9878029   1.440581  ],0.42571965
[ 1.0843301  -0.9524236  -0.69527835],0.49741253
[ 2.9319804  -0.02917453 -3.0142014 ],0.14709517
[-3.0514324  -0.24565747  3.3935585 ],0.08547229
[ 2.501071  -0.4430867 -3.9395835],0.14587906
[-0.04784467  2.0550904  -3.676814  ],0.27489716
[ 0.28744948 -4.356441    2.8777049 ],0.18749456
[ 2.0471172 -2.034884  -1.9148089],0.10571992
[ 1.109662  -0.8839992 -2.0726647],0.3635648
[-1.4551861  -0.95833313  1.6981385 ],0.2621424
[ 1.3745303  -1.4130571   0.34419155],0.60547936
[ 0.6764475  1.0301358 -1.1090021],0.8158759
[-1.5898553  1.88711    0.6374426],0.5155719
[ 1.7989008 -2.0101883 -1.1016806],0.19806789
[ 0.14861065  0.91107464 -2.1862247 ],0.6608748
[-1.6661826 -4.0154157  5.2929535],0.0045753447
[ 2.2623792 -3.4403498  0.6128589],0.3711925
[-1.5673645  1.8494409 -1.6974176],0.16339423
[ 0.27829462 -3.5475438   3.638573  ],0.103220634
[ 1.9063239 -2.3026369 -1.1246071],0.16947626
[-0.98042613  2.1976366  -2.2739315 ],0.14764968
[-0.72636145 -1.8387089   1.7881731 ],0.25462264
[ 2.4589322   0.39892963 -4.3260655 ],0.27732092
[ 0.43143332  0.5199617  -2.031708  ],0.85671896
[-3.0944953 -1.2907326  3.7016973],0.029343646
[-0.3547941  0.9409213 -1.634399 ],0.5531765
[-2.7680528   1.879113   -0.21650873],0.2908424
[-1.3690785 -1.6292533  2.4915254],0.109574735
[ 1.0060222 -1.2193115 -1.1352482],0.41517678
[-0.5290319  0.5925603 -1.584216 ],0.62509924
[-0.3085143 -4.879164   4.6194925],0.026717925
[ 2.141169  -3.232978  -1.3306525],0.1062972
[-3.1564803   0.9372935   0.35187772],0.67960405
[-3.1697364 -1.0297583  3.3175101],0.049460895
[ 1.9822185  -0.37902287 -2.9292564 ],0.23977917
[-0.4743054   0.93229365 -2.1850328 ],0.4931502
[-1.0342052 -3.3967636  3.6851714],0.035064243
[ 1.6827976 -0.9400166 -2.236627 ],0.22736655
[-0.12129468 -0.24299458 -0.9782604 ],0.9493083
[-2.408023  -2.5893652  3.4128156],0.020908138
[ 2.4516761 -2.8142376 -0.9819975],0.11063365
[-0.35155743  0.59279275 -1.780187  ],0.65368736
[-0.758072  -2.4320948  2.8148482],0.10075395
[-0.12078184 -1.5608274   0.30194396],0.8174047
[-1.4941883  0.8257469 -0.4984934],0.5659553
[-1.2765365 -4.5043597  4.697512 ],0.010831455
[ 3.6201944 -4.7518454 -0.4896307],0.0545734
[-0.7109795  -0.19124985 -1.3729634 ],0.84677327
[-0.25477225 -5.827155    5.2718315 ],0.015556078
[ 0.5331233 -0.7808775 -2.397166 ],0.52593595
[-2.7198174  1.7337515 -1.5205277],0.14131337
[-3.0271633 -1.7830373  3.5900812],0.022999283
[-1.4387017  1.7349107 -0.8300226],0.27270472
[-1.10962    3.0131345 -2.914329 ],0.062355272
[-1.6934855   0.5899159   0.02830619],0.75613356
[ 1.3409076 -1.7779034 -0.6740708],0.36340547
[-2.5472608  1.2393528  1.2285862],0.8374623
[-0.46163675 -1.8925939   2.7941935 ],0.13549581
[ 2.1850698 -1.6591588 -1.0704869],0.16201153
[-1.265894  2.920442 -2.355126],0.066737354
[-3.6175222  1.2312171  2.709311 ],0.40919912
[ 0.8577458  -0.640339   -0.83825886],0.58845764
[-0.8408114  1.7931165 -1.8073543],0.23962364
[-1.0275663 -0.9593861  1.7931973],0.27524662
[ 0.71822894 -1.8749893  -3.134183  ],0.23396389
[-1.77501    0.9393157 -1.477225 ],0.32731763
[-3.6531286 -4.468403   6.434198 ],7.642035e-05
[ 1.057913  -0.8618467 -2.047003 ],0.38224286
[-0.72696775  1.3119495  -1.5504199 ],0.37617338
[-4.2590475   0.38637403  3.3254194 ],0.14281169
[-0.669973   -0.607154    0.46076465],0.7355715
[-0.55482334 -0.9010403   0.3154188 ],0.7685873
[-2.4070475   0.87371886  2.4727585 ],0.39228696
[ 1.6064665 -3.4855685  0.9508938],0.64543915
[-0.510419   0.4281304 -0.711355 ],0.76133317
[-0.65299815 -1.1749704   0.41241458],0.69092166
[-0.00280757 -0.50152063 -0.60118085],0.89231694
[-2.0715709  3.418446  -1.3089474],0.04536129
[-0.84063774 -2.0586443   1.9621713 ],0.20094234
[ 1.1145965  -2.2391438  -0.26383618],0.4884401
[-0.70630795  1.115544   -1.8433702 ],0.41073427
[-3.0952466  0.4366717  2.2781398],0.33103627
[ 2.2694006 -2.7545738 -1.9391356],0.06979492
[ 0.24229896  0.5956359  -3.9634778 ],0.73672354
[-3.2165656 -2.7351756  4.3837934],0.0057213036
[ 1.3459616 -1.3704895 -1.3069539],0.2959476
[-1.8900456   1.2656376  -0.46516454],0.4176106
[-1.5023228 -3.1982894  4.1255145],0.016929924
[ 2.2212071  -1.8731854  -0.78031915],0.17629728
[-0.06582225 -0.24199796 -0.51358235],0.9602145
[ 0.6013706 -1.0036703 -0.4055379],0.7022629
[ 1.414779  -1.467538  -1.4532012],0.25738472
[-1.9214493   1.4885335  -0.15636903],0.42330006
[-1.284322  -2.893076   3.7287526],0.029641524
[ 1.7530452 -0.4633752 -2.8217254],0.27054894
[ 0.23588543  1.4433659  -2.2798073 ],0.5175869
[-2.9432166 -0.9375726  3.020902 ],0.06994631
[-1.1829745   0.12855105 -0.27667096],0.8614029
[-2.4559987  1.5441635 -0.7652466],0.27076954
[-2.0639243 -2.2680106  3.3124619],0.030713044
[ 1.8622198 -1.8757486 -1.6190054],0.14907101
[-1.0919561  1.1024776 -1.4879231],0.37154517
[-0.506308   -1.0548904   0.18076137],0.8063419
[ 1.9927788 -1.0360485 -2.433314 ],0.16333821
[-0.61304766 -1.504161    1.1855366 ],0.43440983
[-1.9403137 -3.9948413  5.422702 ],0.0031899915
[ 4.7642403  -4.234869   -0.92821836],0.013940633
[ 0.2764001  0.4020638 -1.781979 ],0.8661457
[-2.6800478 -3.1517882  5.439295 ],0.0021532583
[ 2.3589776 -2.0965612 -2.9655364],0.055791568
[-0.00393509 -0.04528703 -2.3068142 ],0.87875146
[-1.3887337 -2.0111399  3.1751983],0.054283276
[ 1.4330642   0.26843667 -2.8954506 ],0.5129756
[ 1.0990055  1.3024741 -3.3551722],0.7759564
[ 0.15224388 -3.6456547   4.1357956 ],0.061385747
[ 2.2181737 -1.639607  -2.5968704],0.09061027
[-2.2588568  1.8443705 -1.3816637],0.15453413
[-2.8182788  -0.37018988  3.1636164 ],0.09566839
[ 1.2442648  -1.6107199  -0.83046204],0.37037235
[-0.9631871  1.1320777 -1.229066 ],0.40888932
[-2.2895591 -2.0715427  4.4238687],0.01122635
[ 1.6737167  -0.09557541 -2.9477987 ],0.35775018
[-0.8438261  2.4712698 -3.3447833],0.114045516
[-2.4397674 -0.8040875  2.3950386],0.13746078
[ 0.91697955 -2.854791    0.96043175],0.82904184
[-0.7986601   0.56714964 -1.464335  ],0.58193046
